driver_id,service_id,total_requests,total_accepts,acceptance_rate
1,2,29,4,13.79
2,1,16,7,43.75
3,1,38,21,55.26
4,3,42,36,85.71
5,2,49,6,12.24
6,2,20,3,15.0
7,1,26,6,23.08
8,3,41,5,12.2
9,3,20,16,80.0
10,1,10,9,90.0
11,1,41,2,4.88
12,1,34,17,50.0
13,2,34,12,35.29
14,2,32,10,31.25
15,2,12,3,25.0
16,2,11,6,54.55
17,1,25,12,48.0
18,1,47,14,29.79
19,2,23,4,17.39
20,1,45,31,68.89
21,3,30,15,50.0
22,2,44,34,77.27
23,2,22,8,36.36
24,2,26,25,96.15
25,3,10,5,50.0
26,2,41,27,65.85
27,1,14,12,85.71
28,2,44,37,84.09
29,2,12,8,66.67
30,2,33,10,30.3
